                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.22551,                 0.5556,                  0.836,                0.74868,                0.67885,                0.74396,                0.72147,                0.19094,                0.85528,                0.79594,             5.7676e-05,             5.7676e-05,             5.7676e-05
                     71,                0.22405,                0.55095,                0.83634,                0.81967,                0.62694,                 0.7374,                0.71499,                0.18874,                0.87247,                0.79384,             5.5874e-05,             5.5874e-05,             5.5874e-05
                     72,                0.22382,                 0.5458,                 0.8356,                0.77272,                0.65875,                 0.7467,                0.72386,                0.18734,                0.86367,                 0.7954,             5.4072e-05,             5.4072e-05,             5.4072e-05
                     73,                0.22561,                0.54847,                0.83675,                0.76405,                0.64761,                0.73952,                0.71615,                0.19111,                0.86565,                0.79777,              5.227e-05,              5.227e-05,              5.227e-05
                     74,                  0.221,                0.54657,                0.83525,                0.75044,                0.66213,                0.74204,                0.71825,                0.18483,                0.84467,                0.79505,             5.0469e-05,             5.0469e-05,             5.0469e-05
                     75,                0.22082,                0.53967,                0.83413,                0.80215,                0.64035,                0.74754,                 0.7236,                0.18768,                0.85364,                0.79579,             4.8667e-05,             4.8667e-05,             4.8667e-05
                     76,                0.22088,                0.53925,                0.83714,                0.73011,                0.68122,                0.74849,                0.72402,                0.18348,                0.82519,                 0.7925,             4.6865e-05,             4.6865e-05,             4.6865e-05
                     77,                0.21886,                0.53285,                0.83379,                0.80496,                0.64493,                0.74902,                0.72399,                0.18703,                0.82305,                0.79389,             4.5063e-05,             4.5063e-05,             4.5063e-05
                     78,                0.21779,                0.53016,                0.83464,                0.77166,                0.66341,                0.74669,                0.72328,                0.18369,                0.82885,                0.79313,             4.3261e-05,             4.3261e-05,             4.3261e-05
                     79,                 0.2172,                0.52484,                0.83374,                0.79989,                0.65463,                0.74854,                0.72478,                0.18564,                 0.8336,                 0.7957,              4.146e-05,              4.146e-05,              4.146e-05
                     80,                0.21649,                0.52462,                0.83422,                0.79981,                 0.6403,                0.74755,                0.72458,                0.18118,                0.82648,                0.79183,             3.9658e-05,             3.9658e-05,             3.9658e-05
                     81,                0.21772,                0.52961,                0.83462,                0.80001,                0.62794,                0.74482,                0.72107,                0.18638,                0.83341,                  0.795,             3.7856e-05,             3.7856e-05,             3.7856e-05
                     82,                0.21751,                0.52317,                0.83636,                0.80038,                0.63936,                0.74852,                0.72454,                0.18402,                0.81794,                0.79373,             3.6054e-05,             3.6054e-05,             3.6054e-05
                     83,                 0.2131,                0.51578,                0.83123,                0.76202,                0.66721,                0.74562,                0.72222,                0.18621,                 0.8473,                0.79522,             3.4252e-05,             3.4252e-05,             3.4252e-05
                     84,                0.21319,                0.51603,                0.83243,                0.75483,                0.65795,                0.74012,                0.71684,                0.18908,                0.85601,                 0.7959,             3.2451e-05,             3.2451e-05,             3.2451e-05
                     85,                0.21364,                0.51495,                0.83487,                0.73903,                0.66419,                0.73953,                0.71555,                 0.1823,                0.84833,                0.79321,             3.0649e-05,             3.0649e-05,             3.0649e-05
                     86,                0.21798,                0.51793,                0.83463,                0.78476,                0.65968,                0.74936,                0.72551,                0.18414,                 0.8384,                0.79297,             2.8847e-05,             2.8847e-05,             2.8847e-05
                     87,                0.21052,                0.50332,                0.83253,                0.75525,                0.66748,                0.74711,                0.72379,                0.18869,                0.85337,                0.79395,             2.7045e-05,             2.7045e-05,             2.7045e-05
                     88,                0.21253,                0.50567,                0.83256,                0.78086,                0.65844,                0.74695,                0.72386,                0.18982,                0.83575,                0.79584,             2.5243e-05,             2.5243e-05,             2.5243e-05
                     89,                0.21406,                0.51412,                 0.8341,                0.79112,                0.66295,                0.75182,                0.72922,                 0.1864,                0.84272,                 0.7948,             2.3442e-05,             2.3442e-05,             2.3442e-05
                     90,                 0.2087,                0.50496,                0.83208,                0.75634,                0.66668,                0.74679,                0.72332,                0.18479,                0.84761,                0.79419,              2.164e-05,              2.164e-05,              2.164e-05
                     91,                0.16723,                0.28252,                0.79694,                0.73735,                0.66455,                0.74013,                0.71743,                0.18595,                0.86425,                0.79651,             1.9838e-05,             1.9838e-05,             1.9838e-05
                     92,                0.15905,                 0.2622,                0.79035,                 0.7578,                0.65881,                 0.7412,                0.71657,                0.18856,                 0.8602,                0.79677,             1.8036e-05,             1.8036e-05,             1.8036e-05
                     93,                0.15979,                0.25961,                0.79074,                0.76093,                0.65955,                0.74119,                0.71657,                0.18861,                0.86379,                0.79833,             1.6234e-05,             1.6234e-05,             1.6234e-05
                     94,                0.15863,                0.25432,                0.79259,                0.80109,                0.63807,                0.74192,                0.71797,                0.18638,                0.85621,                0.79612,             1.4433e-05,             1.4433e-05,             1.4433e-05
                     95,                0.15796,                0.25198,                 0.7935,                0.75313,                0.67878,                0.74589,                0.72143,                0.18495,                0.84971,                0.79463,             1.2631e-05,             1.2631e-05,             1.2631e-05
                     96,                0.15703,                0.24888,                0.79283,                0.74358,                 0.6863,                0.74486,                 0.7216,                0.18463,                0.85026,                0.79397,             1.0829e-05,             1.0829e-05,             1.0829e-05
                     97,                0.15613,                0.24876,                0.78982,                0.79527,                0.64842,                0.74733,                0.72432,                0.18348,                0.84635,                0.79248,             9.0272e-06,             9.0272e-06,             9.0272e-06
                     98,                0.15672,                 0.2478,                0.79211,                0.75431,                0.67754,                0.74815,                0.72494,                0.18168,                0.84874,                0.79334,             7.2254e-06,             7.2254e-06,             7.2254e-06
                     99,                0.15668,                0.24424,                0.79008,                0.76123,                 0.6764,                0.74626,                0.72264,                0.18183,                0.84901,                 0.7924,             5.4236e-06,             5.4236e-06,             5.4236e-06
                    100,                0.15332,                0.24183,                0.79128,                0.75913,                0.67655,                 0.7457,                0.72258,                0.18173,                0.84315,                0.79322,             3.6218e-06,             3.6218e-06,             3.6218e-06
